task,model,metric,validation,test,baseline,improvement,conclusion
Resolution,HistGradientBoosting (log1p target),MAE (hours),734.5,896.5,"median — val 866.6 / test 1,034.8",+13.4% (test),Improves MAE; partial success only
Resolution,HistGradientBoosting (log1p target),Median AE (hours),84.2,133.3,median — val 108.8 / test 115.5,-15.5% (test),WORSE than baseline on test — fails for typical cases
SLA,HistGradientBoostingClassifier,PR-AUC,0.279,0.249,base rate — val 0.078 / test 0.104,×2.40 (test),Strongest result; narrow population (NYC 2010)
Hotspot,HistGradientBoosting (log1p target),MAE (incidents/zone-week),7.457,10.314,rolling 4-week — val 6.978 / test 10.885,-6.9% val / +5.2% test,Loses on validation — no stable improvement
